Name,Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
FIFA 17,PS4,2016,Electronic Arts,0.9,6.75,0.09,1.33,9.07,85,4.9,E
Uncharted 4: A Thiefs End,PS4,2016,Sony Computer Entertainment,2.92,2.98,0.19,1.18,7.28,93,7.9,T
Battlefield 1,PS4,2016,Electronic Arts,1.45,2.81,0.23,0.81,5.3,89,8.4,M
Battlefield 1,XOne,2016,Electronic Arts,2.14,0.97,0.01,0.32,3.44,87,8.1,M
Final Fantasy XV,PS4,2016,Square Enix,1.01,1.12,0.81,0.42,3.37,82,7.7,T
FIFA 17,XOne,2016,Electronic Arts,0.72,2.3,0,0.22,3.24,84,5.4,E
Madden NFL 17,PS4,2016,Electronic Arts,1.65,0.25,0,0.43,2.33,82,4.6,E
Madden NFL 17,XOne,2016,Electronic Arts,1.57,0.02,0,0.19,1.78,83,5.7,E
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Nintendo,0.59,0.32,0.09,0.09,1.09,86,8.4,T
Titanfall 2,PS4,2016,Electronic Arts,0.46,0.38,0.05,0.17,1.06,89,8.4,M
Kirby: Planet Robobot,3DS,2016,Nintendo,0.3,0.18,0.5,0.05,1.03,81,8.7,E
EA Sports UFC 2,PS4,2016,Electronic Arts,0.32,0.51,0,0.16,0.99,79,6.1,T
Street Fighter V,PS4,2016,Capcom,0.42,0.28,0.09,0.15,0.94,77,3.4,T
Titanfall 2,XOne,2016,Electronic Arts,0.58,0.23,0,0.08,0.9,87,8,M
The Last Guardian,PS4,2016,Sony Computer Entertainment,0.25,0.26,0.08,0.1,0.7,82,7.6,T
Paper Mario: Color Splash,WiiU,2016,Nintendo,0.29,0.23,0.06,0.05,0.64,76,6.9,E
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Electronic Arts,0.37,0.18,0,0.06,0.6,80,8,E10+
Mario Party: Star Rush,3DS,2016,Nintendo,0.17,0.25,0.11,0.04,0.57,68,6.6,E
Battlefield 1,PC,2016,Electronic Arts,0.17,0.32,0,0.04,0.53,88,7.5,M
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Electronic Arts,0.21,0.23,0,0.09,0.53,81,7.7,E10+
Until Dawn: Rush of Blood,PS4,2016,Sony Computer Entertainment,0.24,0.17,0,0.09,0.5,72,8.1,M
Deus Ex: Mankind Divided,PS4,2016,Square Enix,0.19,0.22,0,0.08,0.5,84,7.6,M
Final Fantasy XV,XOne,2016,Square Enix,0.28,0.15,0.01,0.04,0.48,83,6.7,T
EA Sports UFC 2,XOne,2016,Electronic Arts,0.26,0.15,0,0.04,0.45,76,5.9,T
NHL 17,XOne,2016,Electronic Arts,0.36,0.02,0,0.04,0.42,77,4.1,E10+
Life is Strange,PS4,2016,Square Enix,0.16,0.15,0.04,0.06,0.41,85,8.6,M
NHL 17,PS4,2016,Electronic Arts,0.23,0.1,0,0.07,0.4,78,5.9,E10+
World of Final Fantasy,PS4,2016,Square Enix,0.1,0.17,0.08,0.05,0.4,77,8.2,E10+
Star Fox: Zero,WiiU,2016,Nintendo,0.18,0.1,0.08,0.03,0.38,69,7.4,E10+
Mirrors Edge Catalyst,PS4,2016,Electronic Arts,0.12,0.17,0.03,0.06,0.37,69,4.7,T
PlayStation VR Worlds,PS4,2016,Sony Computer Entertainment,0.09,0.15,0.02,0.04,0.3,59,7,M
World of Final Fantasy,PSV,2016,Square Enix,0.06,0.1,0.08,0.05,0.28,77,8.5,E10+
Deus Ex: Mankind Divided,XOne,2016,Square Enix,0.15,0.07,0,0.02,0.24,83,7.2,M
Mega Man Legacy Collection,3DS,2016,Capcom,0.15,0,0.05,0.02,0.22,77,7,E
The Sims 4: City Living,PC,2016,Electronic Arts,0.03,0.15,0,0.01,0.19,78,6.3,T
Mirrors Edge Catalyst,XOne,2016,Electronic Arts,0.1,0.06,0,0.02,0.18,72,4.4,T
Disney Art Academy,3DS,2016,Nintendo,0.03,0.04,0.09,0.01,0.16,72,6.8,E
FIFA 17,PC,2016,Electronic Arts,0,0.14,0,0.01,0.15,84,4.2,E
Life is Strange,XOne,2016,Square Enix,0.11,0.03,0,0.01,0.15,85,8.7,M
RIGS: Mechanized Combat League,PS4,2016,Sony Computer Entertainment,0.05,0.06,0.01,0.02,0.14,78,8,T
Rise of the Tomb Raider,PC,2016,Square Enix,0,0.13,0,0.01,0.13,86,7.9,M
Titanfall 2,PC,2016,Electronic Arts,0.05,0.08,0,0.01,0.13,86,8.1,M
DriveClub VR,PS4,2016,Sony Computer Entertainment,0.04,0.06,0.01,0.02,0.13,66,7.4,E
Resident Evil 6,PS4,2016,Capcom,0.08,0,0.01,0.02,0.1,60,6.7,M
Mega Man Legacy Collection,PS4,2016,Capcom,0.08,0,0,0.02,0.09,77,6.1,E
Mirrors Edge Catalyst,PC,2016,Electronic Arts,0.01,0.06,0,0,0.07,74,4.4,T
Metroid Prime: Federation Force,3DS,2016,Nintendo,0.03,0.01,0.02,0,0.07,64,5,T
Street Fighter V,PC,2016,Capcom,0,0.06,0,0,0.06,74,2.9,T
Dead Rising,PS4,2016,Capcom,0.03,0,0.01,0.01,0.06,78,6.5,M
Deus Ex: Mankind Divided,PC,2016,Square Enix,0,0.05,0,0,0.05,83,6.2,M
Resident Evil 6,XOne,2016,Capcom,0.05,0,0,0.01,0.05,63,6.1,M
Plants vs. Zombies: Garden Warfare 2,PC,2016,Electronic Arts,0,0.04,0,0,0.05,82,7.5,E10+
Dead Rising 2,PS4,2016,Capcom,0.02,0,0.02,0.01,0.05,82,6.6,M
Life is Strange,PC,2016,Square Enix,0.01,0.04,0,0,0.04,83,8.6,M
Here They Lie,PS4,2016,Sony Computer Entertainment,0,0.03,0,0.01,0.04,62,6.6,M
Super Stardust Ultra VR,PS4,2016,Sony Computer Entertainment,0,0.01,0,0,0.02,66,6.2,E10+
Fast Racing Neo ,WiiU,2016,Nintendo,0,0.01,0,0,0.01,81,8.5,E
